ano_comp;uf;adm_des;ibge_subsetor;saldo_mov
2009;26;1;10;4522
2009;41;1;8;13574
2009;33;2;20;-69034
2009;51;1;23;4690
2009;52;1;16;103524
2009;15;1;5;181
2009;28;1;21;12138
2009;12;1;6;2
2009;50;2;20;-9148
2009;21;1;20;4581
2009;27;2;16;-17127
2009;26;2;14;-5144
2009;13;2;7;-875
2009;35;1;16;946833
2009;29;2;13;-18364
2009;22;2;7;-356
2009;42;2;19;-83701
2009;22;1;11;1347
2009;41;2;5;-8770
2009;15;2;8;-869
2009;13;1;11;704
2009;25;2;3;-767
2009;12;2;19;-654
2009;35;2;25;-334580
2009;27;2;4;-557
2009;15;1;13;16274
2009;14;1;1;39
2009;43;2;17;-36354
2009;24;2;24;-242
2009;52;1;4;2770
2009;11;2;11;-595
2009;35;1;4;74074
2009;25;2;14;-982
2009;27;1;25;3566
2009;17;2;20;-1341
2009;25;1;10;1396
2009;29;2;5;-1608
2009;52;2;25;-66998
2009;26;2;3;-3001
2009;29;1;8;2590
2009;42;1;6;5255
2009;41;2;13;-96600
2009;31;1;23;39319
2009;11;1;7;5323
2009;14;1;22;173
2009;43;1;9;36185
2009;14;2;25;-756
2009;43;1;14;6507
2009;35;1;1;4835
2009;53;2;8;-1272
2009;43;2;10;-20610
2009;52;1;1;1874
2009;16;2;6;-3
2009;17;1;23;1587
2009;25;1;17;5008
2009;27;2;1;-150
2009;52;1;22;9427
2009;28;1;15;20647
2009;22;1;12;51
2009;25;2;9;-632
2009;27;2;22;-1700
2009;32;2;24;-1232
2009;11;2;2;-1595
2009;23;1;13;17969
2009;31;2;20;-72958
2009;22;1;18;668
2009;13;1;18;437
2009;35;1;22;144961
2009;53;1;5;225
2009;51;2;20;-10923
2009;23;2;8;-2697
2009;13;1;2;1043
2009;26;1;17;16420
2009;33;1;23;39023
2009;21;2;23;-2888
2009;11;2;12;-28
2009;22;1;2;1351
2009;50;1;23;4807
2009;11;2;18;-228
2009;14;1;16;4628
2009;16;1;19;1240
2009;43;1;3;24592
2009;23;1;5;690
2009;26;2;9;-1058
2009;53;1;13;7514
2009;26;1;25;32952
2009;25;2;16;-19244
2009;16;1;13;562
2009;17;1;7;174
2009;24;2;21;-18450
2009;26;2;4;-1590
2009;51;2;18;-1135
2009;31;2;2;-19419
2009;35;1;3;85741
2009;23;2;6;-952
2009;53;1;19;49018
2009;11;2;20;-3264
